"","X","tweet","city","movie","day","Sentiment_Score"
"106",106,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costars... https://t.co/CerfKBXNko","New York City","Keanu","05.03.2016",0.832238986376825
"107",107,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/876ohbqazH","New York City","Keanu","05.03.2016",0.968066878072901
"108",108,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/Doqupbl2w3","New York City","Keanu","05.03.2016",0.921629192199729
"109",109,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/vT4qL9WtSL","New York City","Keanu","05.03.2016",0.837040990465036
"110",110,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/qLbZQcAwY0","New York City","Keanu","05.03.2016",0.91446128812376
"111",111,"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costar... https://t.co/CHDWUCkUBK","New York City","Keanu","05.03.2016",0.932995544709994
"112",112,"@LolaPlusG have you seen the movie named Keanu <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>? I saw it. I loved it <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>. It was so funny <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>.","New York City","Keanu","05.03.2016",0.982359625410777
"113",113,"RT: Catch up with @batemanjason's @TheFamilyFang one of #Tribeca2016's most impressive gems. https://t.co/lVX8XWTj2l 
@Tribeca LOVED!","New York City","Keanu","05.03.2016",0.858121098623303
"114",114,"RT @Tribeca: Catch up with @batemanjason's THE FAMILY FANG, one of #Tribeca2016's most impressive gems. https://t.co/EKnyjGUklc https://t.c<U+0085>","New York City","Keanu","05.03.2016",0.809583729998418
"115",115,"fun movie, that Keanu. glad I got to see and review it: 
https://t.co/BwJxnK9YiX","New York City","Keanu","05.03.2016",0.995791742315116
"116",116,"#mcm the duo Of #KEANU @jordanpeele and @keeganmic | Their first movie was released this weekend!!!!!... https://t.co/NKA8VGRehw","New York City","Keanu","05.03.2016",0.534898801144553
"117",117,"#mcm the duo Of #KEANU @jordanpeele and @keeganmkey | Their first movie was released this<U+0085> https://t.co/ea9MaOqNHT","New York City","Keanu","05.03.2016",0.594101473183967
"118",118,"Just-released #movie #reviews, from @nytimes' @aoscott, @manohladargis &amp; alum @starksamantha  https://t.co/dA86Uo7vDc #KEANU","New York City","Keanu","05.03.2016",0.91099189077534
"119",119,"Nothing wrong with a silly (slapstick violence) movie about an adorable kitten and the people who love him.

#KEANU #KeanuMovie #movies","New York City","Keanu","05.03.2016",0.432069320446862
"120",120,"Catch up with @batemanjason's THE FAMILY FANG, one of #Tribeca2016's most impressive gems. https://t.co/EKnyjGUklc https://t.co/CuNCTE8xPR","New York City","Keanu","05.03.2016",0.914503496534731
"121",121,"@MartinShkreli did you go see the Keanu movie this weekend?","New York City","Keanu","05.03.2016",0.665314723875217
"122",122,"I liked a @YouTube video from @moviemaniac3d https://t.co/JyurbWdv6B Keanu Movie Review on The Final Cut","New York City","Keanu","05.03.2016",0.784120987355821
"123",123,"RT @RusticT13: I liked a @YouTube video from @jorelblu https://t.co/Fv9NIqwAqO KEANU - MOVIE REVIEW","New York City","Keanu","05.03.2016",0.728239104795813
"124",124,"RT @AlamoNYC: Kitten, please. @KeyAndPeele remind us why you shouldn't talk or text during a movie. https://t.co/8zYnsFOy1S #KEANU https://<U+0085>","New York City","Keanu","05.03.2016",0.719624191197018
"125",125,"@KeanuMovie @methodman Great movie..KEANU..THE KITTEN IS A CUTIE..BUT MY VOTE IS FOR METH...STATEN ISLAND'S FINEST. METH BACK ON TOP.","New York City","Keanu","05.03.2016",0.991625645657267
"126",126,"'Keanu' Movie's Obsession With George Michael 'A Golden Opportunity,' Says Singer's Manager https://t.co/Y2oDErzyeN via @billboard","New York City","Keanu","05.03.2016",0.182846422090851
"127",127,"#LaurenceFishburne The Matrix #DVD Movie ** Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss<U+0085> https://t.co/ibrY05WCgZ #TheMatrix #Morpheus","New York City","Keanu","05.03.2016",0.29626782337171
"128",128,"Keanu beat out the Ratchet and &amp; Clank movie... Why does this not surprise me?","New York City","Keanu","05.03.2016",0.357378620215473
"129",129,"RT @RollingStone: Key and Peele's #Keanu is the funniest cat movie this spring. Our review https://t.co/t5ihPCT3AO https://t.co/U9rROvP18H","New York City","Keanu","05.03.2016",0.95529643604489
"130",130,"Who wants to go see the movie Keanu. I think I may go check it out tonight.","New York City","Keanu","05.03.2016",0.469889527155759
"131",131,"RT @ComplexMag: While 'Keanu' beat 'Mother's Day' on Friday, 'The Jungle Book' remains the number one movie at the box office. https://t.co<U+0085>","New York City","Keanu","05.03.2016",0.907651601275216
"132",132,"#nowplaying #movies 3. Keanu $9.4M: Play Trailers https://t.co/86LPL94BYR #movie #cinema #film","New York City","Keanu","05.03.2016",0.640220428454817
"133",133,"#NowWatching Keanu. The movie about the kitten. Not the actor from Parenthood and 47 Ronin. Those are his most famous roles.","New York City","Keanu","05.03.2016",0.478041872604706
"134",134,"Got his DX wresting pose on. About to check this movie out.<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+0083> #chriswwefan9
#keanu
#charkotapher<U+0085> https://t.co/JhUUu8UF8X","New York City","Keanu","05.03.2016",0.540742048749469
"135",135,"Been a while since I saw an R-rated movie. Couldn't think of a better one than Key &amp; Peele's Keanu. https://t.co/OWmOfJ9Kiq","New York City","Keanu","05.03.2016",0.708014561861239
"136",136,"Movie News Box Office: 'The Jungle Book' Crushes 'Mother's Day,' 'Keanu' https://t.co/fCLLMwp3kP","New York City","Keanu","05.03.2016",0.901201168393434
"137",137,"#LaurenceFishburne The Matrix Revolutions 2003 Movie #DVD 2 Disc Set Keanu Reeves Laurence<U+0085> https://t.co/nXACvIKqGX #TheMatrix #Morpheus","New York City","Keanu","05.03.2016",0.466334881874528
"138",138,"RT @JLCauvin: Larry Wilmore crossed the line, but I think it was just to balance out all the dollars that Key &amp; Peele's movie will make. #W<U+0085>","New York City","Keanu","05.03.2016",0.367153563752542
"139",139,"I liked a @YouTube video from @welivefilm https://t.co/FSix78a3ni Keanu Movie Review - Spoiler Saturdays","New York City","Keanu","05.03.2016",0.789389469832692
"140",140,"RT @indiewire: There are so many reasons to be optimistic about our moviegoing future. Our new podcast explains why: https://t.co/0LoeGtbmAL","New York City","Keanu","05.03.2016",0.975939658316478
"141",141,"RT @indiewire: Why movie theaters and the indie box office are healthier than you might think https://t.co/0LoeGsTLcb https://t.co/ejFYpfKq<U+0085>","New York City","Keanu","05.03.2016",0.985325287080248
"142",142,"RT @andjler: This movie was so fucking good #KEANU @KeeganMKey @JordanPeele  https://t.co/n60U8cM4Sp","New York City","Keanu","05.03.2016",0.885968977430813
"143",143,"This movie was so fucking good #KEANU @KeeganMKey @JordanPeele  https://t.co/n60U8cM4Sp","New York City","Keanu","05.03.2016",0.903981472928532
"144",144,"#Keanu is a hilarious movie. Random as fuck but well catered toward today's audiences, featuring kittens so heavily and what not","New York City","Keanu","05.03.2016",0.974127978129666
"145",145,"#KEANU was the funniest movie I've seen in a long ass time. Great job @KeyAndPeele","New York City","Keanu","05.03.2016",0.989548881079453
"146",146,"RT @Tribeca: Who can resist a cute kitten that dodges bullets in slow-mo and dresses like 50 Cent? https://t.co/EKnyjGUklc #KEANU https://t<U+0085>","New York City","Keanu","05.03.2016",0.478591184736019
"147",147,"The movie Keanu is pretty good","New York City","Keanu","05.03.2016",0.95387502752775
"148",148,"Anyone see the movie Keanu tonight? If so, thoughts? <ed><U+00AE><U+00BA><ed><U+00BE><U+0097> or <ed><U+00AE><U+00BA><ed><U+00BE><U+00A0>","New York City","Keanu","05.03.2016",0.449104805473941
