"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","reviews"
"11","Dough","2016-04-29","2016-04-28","http://www.nytimes.com/2016/04/29/movies/dough-review.html","",0,"Take an aging white Jewish baker, add a young black Muslim immigrant, and what do you have? The ingredients for a pleasant but pat story in which bridges are built across religious, racial and generational divides in a way that happens far more often in feel-good movies than in real life.
The film, directed by John Goldschmidt, is “Dough” and gives us Nat (Jonathan Pryce), whose kosher London bakery is struggling and facing a hostile takeover bid from a cutthroat developer who wants to tear it down. When Nat’s apprentice quits, he reluctantly hires Ayyash (Jerome Holder), a Muslim immigrant from Africa.
Ayyash supplements the family income by selling marijuana on the side, and when he makes an unplanned recipe alteration and mixes some into the baked goods, business booms. The joke in which unlikely and unsuspecting people eat something with pot in it is by now rather worn out, but Mr. Pryce and especially Mr. Holder are appealing. There’s never much doubt where the story is going: Hardships will be endured, mutual respect will develop, bonding will occur, lessons will be learned, the forces of greed will be foiled.
“Dough” is sweet, often funny and always nonthreatening, a movie for those who wish the intractable realities of the world would just disappear."
"12","Elstree 1976","2016-05-06","2016-05-05","http://www.nytimes.com/2016/05/06/movies/elsetree-1976-review-star-wars-documentary.html","",1,"“Elstree 1976,” a documentary both sweet and bittersweet, might sound as if it’s only for “Star Wars” nerds. But in telling a small story of bit players, the director, Jon Spira, captures a more universal picture of the droplets of fame created by a pop-culture tidal wave.
The film checks in on a handful of actors who played small parts in the original “Star Wars,” parts of which were filmed at Elstree Studios near London. They include Dave Prowse, who played Darth Vader (though that character’s memorable voice was provided by James Earl Jones), a few other named characters, and some extras who appeared only as Stormtroopers or faces in a crowd.
Their anecdotes about how they came to be in the movie and their experiences during filming are delightful, but Mr. Spira also finds a certain melancholy in their tales. Some view their “Star Wars” moment as just a blip in a long life. Others have embraced the culture that sprang up around the movie, working the convention circuit, and the glimpses of that world are sad somehow, especially the descriptions of a hierarchy in which actors who had defined roles look down on mere extras.
“Star Wars” fans will, of course, love this film, but it’s also a thought-provoking exploration of the dawning of our current age, in which level of fame doesn’t necessarily match up with level of genuine accomplishment, and individuals can find themselves transformed by fast-moving fads and phenomena beyond their control."
"13","Elvis & Nixon","2016-04-22","2016-04-21","http://www.nytimes.com/2016/04/22/movies/elvis-and-nixon-review.html","R",0,"On Dec. 21, 1970, one of the most popular men in the world met one who would soon be among the more loathed, shaking hands and trading small talk. During this weird Oval Office summit, Elvis Presley (the beloved) trash-talked the Beatles as un-American and Richard M. Nixon (the other guy) handed out souvenirs to the King’s courtiers. Nixon didn’t write about this encounter in his memoirs, but a photograph of him smiling while shaking hands with Presley is the most requested item from the National Archives — a bigger hit than even the Constitution or the Bill of Rights.
It was an improbable meeting of suspicious minds, instigated by Presley’s desire to be a “federal agent at large,” which would give him a badge that, Priscilla Presley later wrote, he thought would allow him to travel freely with guns and drugs. Presley personally delivered his request, handwritten on American Airlines stationery, to the White House, and a presidential aide pitched the get-together to the chief of staff, H. R. Haldeman: “If the president wants to meet with some bright young people outside of the government, Presley might be a perfect one to start with.” Mr. Haldeman was dubious. “You must be kidding,” he scribbled on the letter, though he did sign off on the visit.
The meeting ran as long as 30 minutes if the presidential diaries are to be trusted. Not much happened. Presley gave Nixon a commemorative World War II Colt .45 mounted in a display case, and Nixon admired Presley’s cuff links. Presley also hugged Nixon. In his notes on the appointment, a White House assistant deputy, Egil Krogh, wrote that Presley, in a “very emotional manner,” told Nixon that he was on the president’s side, wanted to be helpful and restore some respect for the flag “which was being lost.” Presley, Mr. Krogh wrote, also said that he was “just a poor boy from Tennessee who had gotten a lot from his country, which in some way he wanted to repay.”
Directed by Liza Johnson, “Elvis & Nixon,” a fictionalized take on the face-to-face, doesn’t add much to this rundown; mostly it adds groovy threads and the improbably cast Michael Shannon as Elvis. A character actor who has powered into star roles partly through his ominous charisma, Mr. Shannon makes no physical sense as Elvis Presley, even when wearing the familiar royal armor — the rings flashing like gold-plated brass knuckles, the sculptured hair, the cute revolver strapped to a pale ankle. The casting feels so incongruous that it’s distracting — until, that is, you realize that Mr. Shannon is the only one that you’re paying attention to, the only one you want to look at.
Some biographical portraits summon up the dead with uncanny or suggestive facial, vocal and gestural resemblances between the original and copy; others just pull out the wigs and clichés. (The HBO show “Vinyl,” about the 1970s New York music scene, is a hit parade of bad pastiche.) As Elvis, Mr. Shannon doesn’t deliver a performance that’s a triumph of technical virtuosity along the lines of Meryl Streep’s eerie reanimation of Julia Child in “Julie & Julia”; it isn’t even a halfway decent Elvis impersonation. It is instead a performance of stardom by an actor whose own magnetism trumps every objection, much as the real Presley transcends every jibe, jumpsuit and downward turn.
By the time Kevin Spacey scuttles in as Nixon, all hunched shoulders and crablike motion, you have spent too much time watching the filmmakers pad the movie, including via Elvis’s dull friend Jerry (Alex Pettyfer). (The script is by Joey Sagal, Hanala Sagal and Cary Elwes.) Despite Mr. Shannon and Mr. Spacey, who appear to be having a fine time working off each other, the meeting is anticlimactic. It’s also too short and straight. Instead of extending the conclave, turning each Elvis-Nixon minute into a time-expanded mind-bender, the filmmakers make it another act. They treat the encounter like history when it seems to have been little more than a mutual delusion.
“Elvis & Nixon” is rated R (Under 17 requires accompanying parent or adult guardian). Suspicious and dirty minds. Running time: 1 hour, 27 minutes."
"14","Eva Hesse","2016-04-27","2016-04-26","http://www.nytimes.com/2016/04/27/movies/review-eva-hesse-documentary.html","",1,"In 1964, when Eva Hesse went to Germany on a fellowship with her husband, the sculptor Tom Doyle, she was a talented 28-year-old painter with a blue-chip education (Cooper Union and Yale) and a foothold in the art world. By the time of her death six years later, from brain cancer, she was widely recognized as a major artist, a maker of category-confounding forms — abstract and visceral, minimalist and feminist, sculptural and painterly — that have lost none of their power in the decades since.
“Eva Hesse,” Marcie Begleiter’s conscientious and moving documentary, tells the full story of its subject’s tragically foreshortened life, but it focuses on those years of artistic emergence, a period of rapid development and furious productivity, with few parallels in the history of art. Hesse herself is both a ubiquitous presence in the film and something of a specter — an animating spirit and a ghost haunting the frames. She is remembered by friends, colleagues and her sister, Helen Hesse Charash. Her work is analyzed by curators and critics. Mr. Doyle is on hand to reflect, tactfully and ruefully, on the ups and downs of their relationship.
Everyone is middle-aged or older, mostly dressed in 21st-century studio or academic mufti. Hesse, in contrast, is a revenant from a cooler, smokier, scruffier decade, eternally and intriguingly youthful. At times resembling the actress Dakota Johnson, she appears mainly in black-and-white still photographs, some of which are digitally massaged so that they seem to move ever so slightly. Her voice is heard once, in a snippet of audiotape. But Ms. Begleiter has made ample and judicious use of Hesse’s letters and diaries, passages of which are read in voice-over by Selma Blair. These selections, along with the pictures, create a powerful illusion of immediacy, a sense of the personality disclosed and obscured by the art.
Like many creative people, Hesse veered from heroic confidence to crippling doubt, but in every phase, she seemed capable of remarkable clarity, humor and warmth. Among her closest confidants was Sol LeWitt, the scholarly, sphinxlike Conceptualist visionary who was the subject of an excellent documentary by Chris Teerink a few years ago. Their correspondence is clearly a remarkable trove of art world gossip, fraternal feeling and critical insight, and it provides this film its emotional and intellectual grounding. (LeWitt’s parts are read by the actor Patrick Kennedy.) But the drama of “Eva Hesse” is a story of mastery and self-discovery, of a woman asserting her autonomy in a male-dominated professional realm.
Hesse was born to a Jewish family in Hamburg in 1936. She and her sister left Germany on a Kindertransport train. Their parents managed to escape the Nazis as well, but many of their relatives were killed during World War II, and the girls’ mother committed suicide in 1946. Though the Holocaust was never an overt theme in Hesse’s work, Ms. Begleiter traces the shadow it cast on her life, especially during her sojourn in Germany with Mr. Doyle.
The film is frank about Hesse’s personal life without being prurient, and it conveys a vivid sense of the sexual politics of the New York art world in the 1960s, a scene still dominated by the myth of the heroic male creator. Hesse’s response was to cultivate her own heroism, a powerfully idiosyncratic style that could be earthy, delicate, whimsical and sublime, sometimes all at once. “Eva Hesse” pays a gratifying amount of attention to the thinking and the techniques that produced her art, and invites viewers to contemplate it further. It’s like a comprehensive exhibition catalog or a thorough critical essay — an indispensable aid to understanding and appreciating a fascinating artist.
“Eva Hesse” is not rated. Running time: 1 hour 48 minutes."
"15","Fassbinder: To Love Without Demands","2016-04-29","2016-04-28","http://www.nytimes.com/2016/04/29/movies/fassbinder-to-love-without-demands-review.html","",0,"“I’d like to be for cinema what William Shakespeare was for theater, Marx for politics, and Freud for psychology,” the German director Rainer Werner Fassbinder is quoted as having said in the Danish director Christian Braad Thomsen’s documentary study, “Fassbinder: To Love Without Demands.”
Fassbinder, who died in 1982 at 37, was an extreme workhorse whose stupendous output — more than 60 films and two television series, not to mention plays — was accomplished with little sleep and an indifference to his physical well-being. Copious drugs and alcohol were consumed to keep up the pace. Mr. Thomsen, who directed this reverent tribute, met Fassbinder in 1969 at the Berlin International Film Festival, where his early movie “Love Is Colder Than Death” was booed. Fassbinder, unruffled, dismissed the Berlin critics as “provincials” and remarked, “At least they reacted.” Over the coming years, Mr. Thomsen interviewed the director and became a close friend.
The access to Fassbinder that the relationship provided was a boon to the film, but a disadvantage as well because the close-up view results in a patchy portrait rather than a coherent biography. The documentary assumes a familiarity with Fassbinder’s movies that few American viewers possess. There is no film-by-film analysis of his major works, which include “The Marriage of Maria Braun” and “Berlin Alexanderplatz,” or the connection from one to the next.
What is emphasized is Fassbinder’s obsession with family. The film examines him through a Freudian lens, paying special attention to his mother, Lilo Pempeit, who appeared in many of his films and whose voice is heard in audio interviews. After World War II, Fassbinder was brought up in Munich by an ever-changing group of adults who lived in a house in which he enjoyed almost unlimited freedom. As his career developed, his filmmaking colleagues and troupe of actors became a surrogate family.
The film is divided into chapters — with titles like “Childhood,” “The Actors,” “Sadomasochism” and “Death” — that create a semblance of structure. Fassbinder had ambivalent feelings about Hollywood and abhorred sentimentality. Of the many directors Fassbinder admired, Mr. Thomsen says, the closest thing to an idol was Douglas Sirk (born Klaus Detlef Sierck in Hamburg) who used Hollywood conventions only to subvert them in movies like “Imitation of Life,” a film with soap-opera theatrics that disguised an underlying social critique.
Fassbinder’s changing politics are mentioned, but in bits and pieces, with little effort made to tie everything into a consistent theory. Among the actors interviewed, the most time is given to Irm Hermann, who describes Fassbinder’s abusive, authoritarian control over her. Other actors featured in Fassbinder films, especially Hanna Schygulla, are seen in clips, but are not interviewed.
In the chapter “Sadomasochism,” any details of sexual tastes are missing, as are references to his lovers, most of them male, although the movie notes that three of them committed suicide. In Fassbinder’s last five years, the documentary says, he lost his trust in the idea of community and decided that the world was crazy and could not be changed except into “a kind of personal madness.”
This frustrating if intriguing film suggests that Fassbinder did the same, but indirectly. He died of overwork. There is a tumultuous story left untold.
“Fassbinder: To Love Without Demands” is not rated. It is in English and German, with English subtitles. Running time: 1 hour 49 minutes."
"16","Green Room","2016-04-29","2016-04-14","http://www.nytimes.com/2016/04/15/movies/green-room-review.html","R",0,"In the opening scene of “Green Room,” the members of the Ain’t Rights, a punk band from the East Coast, wake up in a cornfield somewhere in the Pacific Northwest. The driver fell asleep at the wheel, the van is out of gas, and the hassles escalate after that. A promised gig falls through, a podcast interview becomes a little awkward, and the group’s corporate assets, not counting the van and the gear inside it, add up to around $25 and a few takeout containers of rice and beans.
Things will only get worse. There will be guns, machetes, dogs trained to gobble human flesh, and a forest full of scary homegrown fascists. But before all of that — before “Green Room,” written and directed by Jeremy Saulnier, puts its genre cards on the table and turns into a tense and nasty siege movie — the plight of the Ain’t Rights has a scruffy comic flavor. We could be watching a web series or a spindly indie about four young people (played by Alia Shawkat, Anton Yelchin, Callum Turner and Joe Cole) at loose ends who meet up with a series of rough but also kind of interesting characters.
The Ain’ts are hardly innocent: Their touring vehicle runs on fuel siphoned from parked cars. But there is something touching about their devotion to one another and to the dogmas and rhythms of punk rock. It has been around for much longer than any of them. Though “Green Room” takes place in the smartphone-enabled present and assembles a cast of talented millennials, it explores a venerable subcultural terrain.
Booked to play a show at a remote roadhouse whose patrons are skinheads — the place is decorated with SS lightning bolts and Confederate flags — our heroes unleash a cover of the Dead Kennedys’ anthem insulting “Nazi punks,” a chestnut from 1981. Some in the crowd take the bait and toss bottles, extend their middle fingers or walk out. Others accept the insouciance of the gesture and dive into the mosh pit. The Ain’ts themselves may be disgusted with the audience, but not enough to refuse the club owner’s money.
The ideological errors of young music fans aren’t really the point of “Green Room.” The political resurgence of white supremacy gives the movie a frisson of topicality, but extremism is less a theme than a conceit. Mr. Saulnier, whose previous color-coded exercise in mayhem was “Blue Ruin,” needed some detestable bad guys, and he chose well. The skinheads at the show are not just obnoxious racists. Many of them are part of a criminal network heavy into heroin, dog fighting and other bad stuff. The captain of this enterprise is a graybeard named Darcy, played by none other than Patrick Stewart.
That inspired bit of casting is almost enough to inscribe “Green Room” alongside “Sexy Beast” in the pantheon of against-type British thespian screen villainy. Darcy, his voice an almost soothing growl, presents himself as a reasonable and practical man. His diplomatic skills are called upon when the Ain’ts witness some bad business backstage and need to be placated until they can be dealt with more permanently. This is when the guns, machetes and killer dogs come into play, and when Mr. Saulnier begins to show off his tactical chops.
Once it becomes clear that the band can’t talk its way out of trouble, its members decide to fight back, with their bassist, Pat (Mr. Yelchin), and their guitarist, Sam (Ms. Shawkat), taking the lead, and a couple of less-than-fully-loyal skinheads (Mark Webber and Imogen Poots) playing backup. Once the violence starts, “Green Room” settles into horror movie logic, becoming steadily more gruesome and less terrifying as the body count grows. You know some people are going to die, and figuring out who and in what order feels more like a brainteaser than like a matter of deep moral or emotional concern.
Which is cool and everything. Mr. Saulnier certainly could have done more, but he succeeds perfectly well within the limited terms he has set for himself. When the situation looks especially desperate, Pat offers a lesson drawn from a long-ago paintball match, the point of which is that the only way to defeat grimly determined professional warriors is with a defiantly playful, anarchic spirit. That’s a canonical punk-rock attitude, of course, even if it isn’t quite an adequate response to hate-based politics. Darcy likes to tell his young followers that “it’s not a party; it’s a movement.” But there’s no reason to take him seriously.
“Green Room” is rated R (under 17 requires accompanying parent or adult guardian). “Punk ain’t no religious cult. Punk means thinking for yourself.” Running time:  1 hour 35 minutes."
"17","Hockney","2016-04-22","2016-04-21","http://www.nytimes.com/2016/04/22/movies/hockney-review.html","",0,"Sunlight on rippling water, tanned bodies lounging by a swimming pool, brilliant sunshine in a deep-blue sky, endless summer. The canvases of the British painter, stage designer and photographer David Hockney, who settled in Los Angeles in the mid-1960s, are the visual-art equivalents of the Beach Boys’ records from the same period. They encapsulate the Southern California dream with a gorgeous simplicity that makes you want to drop everything and go west, grab a surfboard and paddle into the Pacific.
As pictured in Randall Wright’s entertaining documentary biography of Mr. Hockney, 78 and still going strong, the paintings’ light is so dazzling that the pigment seems to glisten. Mr. Hockney recalls his attraction to Los Angeles in the film and sounds like an explorer who has discovered paradise. Of Southern California, he says, “It’s got all the energy of the United States but with the Mediterranean thrown in.” He adds that he didn’t think of it as a cultural desert because Hollywood was there, and he grew up loving the movies. “Los Angeles was three times better than I thought it would be,” he exclaims.
It was another world from his dingy hometown, Bradford, England, where he was born to devoted parents who told their oddball son not to worry about what the neighbors thought. And he didn’t.
After graduation from the Royal College of Art, he went to America because it was the capital of the art world and quickly found his place as a hybrid of pop artist and traditionalist. A Clairol ad persuaded him to dye his hair blond, which it remained. Many have remarked on his resemblance to his friend, Andy Warhol, although that name, strangely, isn’t mentioned in the film. Much of Mr. Hockney’s work was related to his homosexuality and dealt with his fantasies of surfers. “He was really like a high-school girl about it,” one friend remarks.
One of the two important relationships examined in the film was with his first love, Peter Schlesinger, a handsome art student who was 19 when they met and who became his muse and frequent subject. It ended badly in the early ’70s. His crucial relationship wasn’t romantic but rather a profound friendship with the modern art historian, critic and curator Henry Geldzahler, whose death in 1994 left Mr. Hockney devastated.
Like most of its subject’s art, “Hockney” is a sunny film that spends just enough time acknowledging the sadder aspects of his life to avoid sounding aggressively chipper. Its darkest shadow is the AIDS epidemic, which, Mr. Hockney said, claimed the lives of two-thirds of his friends and changed New York. Had they lived, he surmises, the city would still have a bohemia.
When it deepens its intellectual focus, “Hockney” begins to lose coherence, with rushed sequences that cover his stage designs, his landscapes and his experiments with photography. As the film jumps from topic to topic, trusting that catchy sound bites will fill in gaps, you struggle to keep up with each chapter before the subject changes. Many erudite talking heads appear, but there is no satisfying overview of the artist and his complicated relationship to art history beyond the assertion that Pablo Picasso was his idol and that Mr. Hockney’s restless transformations reflected that admiration.
“Hockney” is not rated. Running time: 1 hour 53 minutes."
"18","Keanu","2016-04-29","2016-04-28","http://www.nytimes.com/2016/04/29/movies/keanu-review-key-and-peele.html","R",0,"The absurdist kick in “Keanu,” the first movie to showcase Keegan-Michael Key and Jordan Peele together, has a tiny tail and squeak. Beloved of crime lords and doofuses alike, Keanu the kitten shows up early, padding underfoot through one of those artfully staged drug labs — armed guards, white powder, ominous lighting — that’s soon lit up with the sights and sounds of heavy artillery. Much like the Buddhalicious star he’s named for, Keanu slips unscathed through the fast-and-furious raining bullets, miraculously dodging death as a heavenly chorus lays down an apocalyptic track. Kitten has skills.
That’s the high-concept goof in “Keanu,” a 10-minute sketch that’s been inflated to bloated feature length. Running 90 minutes too long, the movie is a slack, erratically amusing excuse to watch Mr. Key and Mr. Peele tag-team after ending “Key & Peele,” their celebrated, often blazingly funny Comedy Central series that turned them into national memes. The road to Mr. Key and Mr. Peele’s future as movie headliners, though, will take more than kittens, guns and a riff on gangbangers head-bobbing to George Michael. What’s needed is a sharper, smarter edge, like the one they used on their show to lacerate pop-cultural and political targets; also, more and better jokes.
The good news is that Mr. Key and Mr. Peele comfortably hold the big screen, whether they’re playing ordinary guys or imitating killers. The movie, which Mr. Peele wrote with the longtime “Key & Peele” contributor Alex Rubens, opens with the kitten running from the drug-lab shootout and landing at the door of Rell (Mr. Peele), who’s distraught after being dumped by his girlfriend. Like every man in the movie, Rell falls for the cat and — after rising from a miasma of pot smoke while flanked by posters for “New Jack City” and Michael Mann’s “Heat” — names his fluffy new friend Keanu. A new love is born, one that’s blessed by Rell’s cousin, Clarence (Mr. Key), if also nearly doomed.
Things start cooking when Keanu disappears, forcing Rell and Clarence to play detective while chasing leads and kitten tail. They end up in a strip club, where women provide the topless decoration on and off the pole in a joint, bada bing, run by a gangster, Cheddar (Method Man), and his gunslingers. (The flat-liner here is that the crew calls itself the 17th Street Blips, à la the Crips and the Bloods.) There, Rell and Clarence, latter-day Hardy Boys, pretend to be hard-core criminals, a quickie makeover that largely involves putting a swagger in their step, talking street (or like black extras in an exploitation flick) and punctuating their cartoonish braggadocio with R-rated filler.
On their show, Mr. Key and Mr. Peele turned code switching into an aesthetic principle, most famously in their sketches involving President Obama (brilliantly channeled by Mr. Peele) and his Anger Translator, Luther (Mr. Key). In “Keanu,” once Rell and Clarence start hanging with Cheddar’s group, they swap their everyday speech (“good English”) for tougher, rougher talk and haphazard grammar. They drop their final “g’s,” sprinkle on the “ain’ts” and vamp like gangbangers. It’s a metamorphosis that sounds like conceptual gold, as Mr. Key and Mr. Peele — drawing from the comedy of masquerade and playing with racially coded speech and behavior — turn a pair of amusing milquetoasts who happen to be black into black stereotypes right out of central casting.
Rell and Clarence are performing thuggery, at least at first, walking the bad-man walk and talking the talk while frantically looking for the exit. And despite the sluggish passages and hum of unease, it’s fun watching these performers play with clichés amid a guest visit from Anna Faris and the sight of Clarence’s minivan’s becoming a safe space for gangsta sharing and caring. (The director is Peter Atencio, another “Key & Peele” veteran.) But as the genre machinery chugs along, the bang-bang begins to overwhelm the movie, and the underlying critique gives way to a what-me-worry shrug. Keanu may be Rell and Clarence’s power animal. But he’s no match for Liam “Neesons,” the character whom Mr. Key and Mr. Peele named in honor of the Hollywood hepcat who explodes minds and bodies both.
“Keanu” is rated R (Under 17 requires accompanying parent or adult guardian). Bang bang, bleep bleep. Running time: 1 hour 40 minutes."
"19","Love Thy Nature","2016-04-22","2016-04-21","http://www.nytimes.com/2016/04/22/movies/review-in-love-thy-nature-it-takes-a-planet.html","",0,"Everybody likes to spout grand-sounding ideas; no one likes to get into the messy area of carrying them out. A case in point: “Love Thy Nature,” an airy film by Sylvie Rokab that advocates redefining the relationship between humans and the natural world.
Various theorists talk about the need to get away from the idea that people are supposed to subdue the Earth and toward the view that we are part of an interconnected planetary organism of sorts. The era of humans, we’re reminded, represents only a tiny fraction of Earth’s existence, and across those eons the planet has been continually evolving in ways that support a diversity of life. We need to figure out our place in this biosphere rather than try to conquer and exploit it.
These ideas are presented via various talking heads and a narration read by Liam Neeson that represents “the voice of Sapiens,” while endless slow-motion footage of animals, plants and people rolls by. Hard realities, though, are nowhere to be found.
Some of these experts like to talk in the “we”: “We’re starting to realize that we’re all kin, we’re all cousins,” Brian Swimme, a cosmologist, says in a segment that notes how much DNA humans share with trees. But who is this “we”? No one in this film acknowledges that a large number of humans deny global warming and still cheer the line “drill, baby, drill” when politicians hurl it.
Even when it could be specific, “Love Thy Nature” isn’t. The idea of biomimicry — emulating proven solutions from the natural world to address human needs and problems — is discussed, but don’t expect many concrete examples. The film is useful enough as an introduction to such concepts, but it’s not willing to take on the difficult journey from theory to practice."
"20","Mad Tiger","2016-05-06","2016-05-05","http://www.nytimes.com/2016/05/06/movies/review-mad-tiger.html","",0,"According to Kengo Hioki, the guitarist for and a founder of the punk band Peelander-Z, the group’s focus is 10 percent on music, 90 percent on theatrical style. Its gonzo stagecraft involves garish costumes and wild hairdos. The Japanese band members, mostly based in the United States, perform as alter egos — aliens from the planet Peelander. Kengo calls himself Peelander-Yellow; his bassist and longtime friend Kotaro Tsukada, is Peelander-Red. Peelander-Green is seen on drums.
In “Mad Tiger,” a slight, overextended documentary about these musicians, Red decides to call it quits and open a bar. The separation is initially amicable, but rifts soon threaten to unplug Peelander-Z’s amplifiers for good. In particular, Yellow struggles to find a rhythm with the new bassist (Purple, from the dark side of the planet).
Yellow notes that making an audience happy is tough, and the main idea in “Mad Tiger” is that the group’s prankishness masks complex, longstanding friendships. Yellow, a shy former painter who hides behind his character, is easily wounded, and not because he once broke a tooth during a rolling high kick.
The movie is obviously heartfelt, but the directors, Jonathan Yi and Michael Haertlein, never turn this motley crew into compelling characters. (The band’s personnel issues don’t exactly amount to the breakup of the Beatles.) Nor is there much “This Is Spinal Tap”-style humor. “Mad Tiger” is entirely earnest in its affection, even when Red shows up at Purple’s first show, seriously irritating Yellow."
"21","Men & Chicken","2016-04-22","2016-04-21","http://www.nytimes.com/2016/04/22/movies/men-and-chicken-review.html","",0,"An early scene in “Men & Chicken” shows the actor Mads Mikkelsen, with curly hair and a mustache, in the role of Elias, on an awkward date with a woman he met online. She says she is impressed that Elias made the date to begin with because her profile picture, which shows her in a wheelchair, has turned off other men.
Expressing interest in her job as a psychiatrist, Elias describes a dream, one in which he rapes a bird of some sort. His date interjects questions; Elias responds with annoyance, questioning her competence as a therapist. He subsequently retires to the men’s room and begins to masturbate in a stall. Yes. “Men & Chicken” is that kind of movie. He’s interrupted by a phone call from his brother Gabriel (David Dencik), who tells Elias that their father has died.
It’s even more of that kind of movie when Elias and Gabriel discover their dead father is not their real father. The comically dimwitted brothers trek to a remote Danish island, where they discover three more brothers, who are loath to let the interlopers see the patriarch. Slapstick violence collides with an air of rot, and for a time the movie feels like a cross between “The Texas Chainsaw Massacre” and a vintage Three Stooges short. And then there are the mutated chickens.
All the weirdness is orchestrated with surprising understatement by the writer and director Anders Thomas Jensen, a well-established screenwriter and a bit of a cult figure, directorially, in his native land. The movie’s grave commitment to its own quirkiness is admirable, I suppose. But that doesn’t mean I’m going to recommend it."
"22","Mother’s Day","2016-04-29","2016-04-28","http://www.nytimes.com/2016/04/29/movies/mothers-day-review.html","PG-13",0,"The unofficial conclusion of an unofficial trilogy of holiday-themed multistar comedy vehicles directed by Garry Marshall, “Mother’s Day” has its perfunctory heart exactly where any experienced viewer would expect it to be. That is, in a fantasy world where, among other things, one older mother’s lifetime of bigotry can be cured by half an afternoon spent with a mixed-race child.
The major players in this movie of intertwined story lines include Kate Hudson as a daughter and mom addicted to secrets; Jennifer Aniston as a frazzled divorced mom superirritated by her ex, played by Timothy Olyphant (who’s clearly dying to star in a biopic of Billy Bob Thornton); Julia Roberts as a high-powered childless career woman; and Britt Robertson as a young single mom who’s loath to marry her winsome British boyfriend because of her ambivalence about having been adopted. You will guess, immediately, who her mom turns out to be.
The movie, a goopy, glossy mess with 10 times more respect for contrived sentimentality than for film grammar, is bereft of genuinely amusing jokes — Mr. Marshall really had some nerve naming his autobiography “Wake Me When It’s Funny.” Which is not to say the film lacks entertainment value. There’s unusual imagery, in the form of Ms. Roberts’s recycled wig. (Perhaps she had hoped to pass for a Julia Roberts impersonator.) There’s suspense, as when Jason Sudeikis, playing a single dad, sings “The Humpty Dance” for a roomful of children, and you wonder if he’ll make it to the line “I once got busy in a Burger King bathroom.” And there are laughs, albeit inadvertent; the biggest comes courtesy of the production’s no-doubt overworked sound department, when Ms. Robertson utters “I have abandonment issues” without moving her mouth. GLENN KENNY
“Mother’s Day” is rated PG-13 (Parents strongly cautioned) for language of the sort that your mom may use with you if you take her to see this movie."
"23","Mothers and Daughters","2016-05-06","2016-05-05","http://www.nytimes.com/2016/05/06/movies/mothers-and-daughters-review.html","PG-13",0,"“Mothers and Daughters” is full of recognizable stars and heartfelt conversations. Unfortunately, it’s largely devoid of the kind of character development that can give such conversations real impact.
The movie — directed by Paul Duddridge and released, of course, just in time for Mother’s Day weekend — works an intersecting-stories structure as it follows several mother-daughter pairs through tensions, tears and reconciliations. The cast includes Susan Sarandon, Sharon Stone, Courteney Cox, Mira Sorvino, Christina Ricci and Eva Amurri Martino (Ms. Sarandon’s real daughter), and they are tasked with cutting right to the chase. Having multiple plotlines eats time, and, as a result, Paige Cameron, the screenwriter, doesn’t really lay much of a foundation for any of these relationships; instead, we’ve barely registered who’s who before we are plunged into the heart-to-hearts.
Subtlety is not on the agenda here, either; these are big-moment stories that involve pregnancies, revelations about who is whose biological parent, and so on. The dialogue — much of it delivered via video conference calls, for some reason — is the kind of Lifetime movie stuff that will probably strike a chord with mothers and daughters who have had similar conversations or wish they had.
“When you were born, and I saw you, I didn’t know that I could ever need anything that badly, that I could ever love anything that much,” Ms. Sarandon’s character tells her daughter. But what kind of relationship led to such earnest soul-baring? We’re left to imagine. NEIL GENZLINGER
“Mothers and Daughters” is rated PG-13 (Parents strongly cautioned) for mature themes."
